,company,rating,reviews,highlyRatedFor,jobs,salary
1753,Kirloskar Ferrous Industries,3.6,(638),Job Security,2,2.2k
1754,Turbo Energy,4.1,(637),"Work Life Balance, Work Satisfaction, Skill Development",--,2k
1755,Infinity Learn,4.2,(638),"Salary, Company Culture, Work Life Balance",144,2.2k
1756,Action Tesa,3.9,(635),"Job Security, Skill Development",12,1.5k
1757,Cashify,3.9,(634),"Company Culture, Work Life Balance",5,2.8k
1758,Sapiens,3.1,(634),"Promotions, Work Satisfaction, Skill Development",16,5.5k
1759,Suma Soft,3.5,(632),"Promotions, Salary, Work Satisfaction",20,3.2k
1760,HDFC Asset Management Company,4.1,(632),"Job Security, Work Life Balance, Skill Development",--,2.5k
1761,Annalect,3.4,(631),Work Life Balance,--,4.3k
1762,Trigent Software,3.3,(632),"Promotions, Job Security, Skill Development",--,4k
1763,Finastra,3.6,(631),Work Life Balance,27,4.6k
1764,Shriram Automall,4.0,(630),"Company Culture, Job Security, Salary",--,1.4k
1765,Sterling Oil Exploration & Energy Production,3.5,(630),"Promotions, Work Life Balance, Work Satisfaction",4,1.4k
1766,HashedIn by Deloitte,3.8,(630),"Job Security, Company Culture, Skill Development",18,6.2k
1767,Pyramid IT Consulting,3.1,(630),"Promotions, Job Security, Skill Development",--,2.9k
1768,Sl Lumax,3.4,(630),"Work Life Balance, Work Satisfaction, Promotions",3,2.3k
1769,Nucleus Software Exports,3.1,(629),Job Security,7,4.3k
1770,Adani Cement,3.4,(629),"Promotions, Job Security, Company Culture",--,2.4k
1771,Eli Lilly and Company,3.3,(629),"Promotions, Work Satisfaction, Company Culture",24,5k
1772,Royaloak Incorporation,3.6,(629),"Job Security, Company Culture, Promotions",5,1.6k
1773,Kajaria Ceramics,3.9,(629),Work Life Balance,5,2.1k
1774,Medcode,3.8,(628),Skill Development,15,513
1775,Godrej Industries,4.0,(629),"Job Security, Work Life Balance, Company Culture",155,2.9k
1776,Crowne Plaza,4.1,(628),"Job Security, Company Culture, Work Life Balance",--,1.3k
1777,Varindera Constructions,4.4,(629),"Salary, Company Culture, Work Satisfaction",11,1.4k
1778,Dr. Batras' Positive Health Clinic,3.7,(628),"Promotions, Company Culture, Job Security",9,1.1k
1779,Finolex Industries,3.7,(627),Work Life Balance,1,2.4k
1780,IRB Infrastructure,3.9,(627),"Work Life Balance, Salary",29,1.4k
1781,Sudarshan Chemical Industries,3.9,(627),Skill Development,12,2.8k
1782,Jubilant Agri and Consumer Products,3.9,(627),"Salary, Work Life Balance",--,2k
1783,Nspira Management Services,3.7,(627),"Promotions, Skill Development, Salary",25,2.6k
1784,Einfochips,3.5,(627),"Promotions, Salary, Work Satisfaction",176,3.9k
1785,Aster Dm Healthcare,3.7,(626),"Promotions, Company Culture, Work Satisfaction",83,3.1k
1786,Okaya Power,3.7,(625),"Promotions, Skill Development",22,2.2k
1787,CSM Technologies,4.0,(625),"Work Life Balance, Job Security",17,2.2k
1788,Cyfuture,2.9,(624),"Promotions, Salary, Company Culture",39,2.8k
1789,Renovision Automation Services,3.3,(624),"Promotions, Salary, Job Security",13,1.8k
1790,Karvy Stock Broking,3.6,(623),"Promotions, Company Culture, Work Life Balance",--,1.5k
1791,Shivam Autotech,3.5,(623),"Promotions, Salary, Company Culture",4,2.3k
1792,EaseMyTrip.com,4.0,(624),"Work Life Balance, Work Satisfaction, Job Security",32,1.4k
1793,Sintex Industries,3.9,(623),"Job Security, Work Life Balance, Work Satisfaction",9,2k
1794,Mrs Bector's Food Specialities,3.8,(623),"Promotions, Company Culture",22,2k
1795,Fiem Industries,3.7,(622),Salary,11,2.7k
1796,The Saraswat Co-operative Bank,3.2,(622),"Promotions, Salary, Work Satisfaction",3,3.1k
1797,C5i,4.2,(622),"Work Life Balance, Company Culture, Work Satisfaction",26,3k
1798,Becton Dickinson,3.9,(622),"Company Culture, Work Life Balance, Job Security",48,3.5k
1799,Family Health Plan,3.7,(621),"Promotions, Salary, Skill Development",2,2.1k
1800,Rocket India,4.0,(621),"Job Security, Company Culture, Work Life Balance",22,3.8k
1801,Mavenir Systems,3.3,(621),"Promotions, Job Security, Company Culture",13,3.6k
1802,Super Smelters,3.7,(620),Skill Development,--,2.2k
1803,BMC Software,3.9,(620),"Work Life Balance, Company Culture, Salary",50,3.9k
1804,ThoughtWorks,4.0,(620),"Work Life Balance, Company Culture, Skill Development",13,7.5k
1805,Toyoda Gosei Minda,4.2,(620),"Job Security, Company Culture, Work Life Balance",--,1.9k
1806,Gestamp,3.7,(619),"Promotions, Company Culture, Work Satisfaction",--,2.2k
1807,Hpl Electric & Power,3.7,(620),Work Life Balance,6,2.3k
1808,Heidelberg Cement,4.0,(619),"Work Life Balance, Job Security, Company Culture",1,2k
1809,BT E Serv,3.9,(618),"Work Life Balance, Company Culture",1,2.7k
1810,AgroStar,4.0,(618),"Company Culture, Skill Development, Salary",3,1.6k
1811,IKEA,4.0,(618),"Work Life Balance, Company Culture, Salary",--,2.3k
1812,Netmeds.com,3.9,(618),"Work Life Balance, Salary",--,2.3k
1813,Ongc Petro Additions,4.0,(618),"Job Security, Work Life Balance, Company Culture",--,3.3k
1814,DHL Global Forwarding,3.8,(617),"Work Life Balance, Job Security, Company Culture",2,3.1k
1815,Jayaswal Neco Industries Limited,4.1,(617),"Job Security, Work Life Balance, Skill Development",16,2.1k
1816,Anmol Industries,3.9,(616),"Company Culture, Work Life Balance",--,1.8k
1817,ITC Limited Foods Division,3.9,(618),Job Security,--,2k
1818,Ofbusiness,2.9,(615),"Job Security, Work Life Balance, Company Culture",65,2.7k
1819,Hitachi Systems Micro Clinic,4.0,(615),"Work Life Balance, Job Security, Company Culture",--,2.6k
1820,Consulting Engineers Group,4.0,(615),"Work Life Balance, Company Culture, Work Satisfaction",5,1.8k
1821,CSG International,3.5,(614),"Promotions, Skill Development, Job Security",2,4.3k
1822,Pinnacle,3.4,(614),Job Security,21,3k
1823,HLL Lifecare,3.7,(614),"Promotions, Salary, Job Security",5,1.8k
1824,Bharat Biotech International,3.1,(615),"Promotions, Company Culture, Work Satisfaction",11,2.3k
1825,APL Apollo Tubes,4.1,(614),"Work Life Balance, Work Satisfaction, Job Security",5,2k
1826,VDA Infosolutions,3.8,(613),Job Security,1,1.9k
1827,Jain Irrigation Systems,3.6,(612),"Promotions, Salary, Work Satisfaction",--,1.9k
1828,FNP,3.7,(613),"Promotions, Job Security",18,2.5k
1829,Royal Caribbean International,4.1,(611),"Salary, Company Culture, Skill Development",--,709
1830,Grab A Grub Services,4.0,(611),Work Life Balance,1,2k
1831,Lulu International Shopping Mall,3.7,(610),Job Security,--,2.7k
1832,Holiday Inn,3.8,(610),"Job Security, Skill Development",2,1.4k
1833,BAXY Limited,4.0,(609),"Work Life Balance, Skill Development, Salary",1,2.1k
1834,United Colors of Benetton,4.4,(609),"Company Culture, Work Life Balance, Skill Development",2,1.4k
1835,EdgeVerve Systems,3.2,(609),Job Security,42,4.4k
1836,Accion Labs,3.5,(609),"Promotions, Job Security, Company Culture",48,5k
1837,Hettich,3.6,(608),"Promotions, Work Life Balance, Work Satisfaction",11,2.5k
1838,Jaipur Rugs,4.2,(608),"Company Culture, Skill Development, Work Life Balance",5,860
1839,MothersonSumi INfotech & Designs,3.4,(608),Job Security,23,3.6k
1840,Perficient,3.7,(608),Work Life Balance,17,4.6k
1841,Carnival Cruise Lines,4.1,(608),"Company Culture, Work Life Balance, Work Satisfaction",--,674
1842,Blackberrys,3.7,(607),"Job Security, Promotions, Work Satisfaction",4,1.8k
1843,Vedang Cellular Services,3.8,(607),Salary,15,1.8k
1844,Laxmi Organic Industries,3.6,(607),"Promotions, Company Culture, Work Satisfaction",13,2.2k
1845,DealShare,3.6,(607),"Job Security, Promotions, Company Culture",--,2.6k
1846,Expleo Group,3.5,(606),"Promotions, Salary, Work Satisfaction",103,5.9k
1847,Pathkind Diagnostics Private Limited,3.9,(606),"Skill Development, Work Life Balance, Work Satisfaction",15,1.9k
1848,Kauvery Hospital,3.9,(606),"Job Security, Skill Development, Company Culture",21,2.3k
1849,Aurionpro Solutions,3.4,(605),"Promotions, Skill Development, Company Culture",16,3.7k
1850,SIS Prosegur Holdings,3.4,(604),"Promotions, Salary, Work Satisfaction",6,1.5k
1851,Orra Fine Jewellery,3.5,(604),Salary,50,1.8k
1852,Allianz Services,4.0,(604),"Job Security, Company Culture, Work Life Balance",6,2.5k
1853,Dhani Services,3.6,(604),"Promotions, Job Security, Company Culture",--,1.2k
1854,Polaris Consulting,4.2,(603),"Work Life Balance, Job Security, Skill Development",--,2.7k
1855,Iron Mountain Inc,3.7,(603),Work Life Balance,146,3.2k
1856,Maxicus,3.9,(602),Work Life Balance,--,769
1857,Dr. Reddy's Foundation,3.7,(602),Promotions,29,1.8k
1858,Inspira Enterprise India Limited,3.6,(601),"Promotions, Company Culture, Work Satisfaction",5,3.6k
1859,Apitoria Pharma,4.2,(600),"Job Security, Work Life Balance, Salary",9,947
1860,NLC India Limited,4.4,(599),"Work Life Balance, Job Security, Company Culture",--,1.3k
1861,Ambit Finvest,4.0,(599),"Salary, Company Culture, Work Life Balance",15,2k
1862,Premier Energies,4.0,(600),"Company Culture, Work Life Balance, Job Security",28,2.2k
1863,Medley Pharmaceuticals,3.8,(599),Work Life Balance,25,1.8k
1864,Colt Technology Services,4.2,(599),"Work Life Balance, Company Culture, Work Satisfaction",19,3.3k
1865,IDP Education Limited,3.6,(599),"Promotions, Job Security, Work Satisfaction",12,2.5k
1866,Vadilal Industries,4.1,(598),"Job Security, Work Life Balance, Company Culture",8,1.8k
1867,Ascent HR Technologies Private Limited,3.6,(597),"Promotions, Salary, Company Culture",9,1.8k
1868,QSpiders,3.7,(597),"Promotions, Job Security, Salary",--,1.8k
1869,IKF Finance,4.0,(597),"Salary, Company Culture, Work Life Balance",6,1.4k
1870,Excitel Broadband,3.7,(597),"Promotions, Job Security, Company Culture",6,2k
1871,Bridge & Roof Co,3.4,(597),"Promotions, Company Culture, Work Life Balance",--,2.5k
1872,Cvent,3.2,(596),"Promotions, Work Satisfaction, Salary",59,4.9k
1873,HUDL,3.2,(596),"Promotions, Skill Development, Job Security",1,2k
1874,Fenesta Building Systems,4.0,(595),"Job Security, Company Culture, Work Life Balance",19,2k
1875,ShareChat,3.6,(595),Salary,9,2.6k
1876,ArcelorMittal,4.0,(596),"Work Life Balance, Job Security, Company Culture",8,3.4k
1877,Ugam Solution,3.5,(594),Job Security,--,3.3k
1878,Affinity Express,2.8,(595),"Promotions, Work Satisfaction, Company Culture",3,2.5k
1879,Columbia Asia,4.6,(594),"Company Culture, Skill Development, Work Life Balance",--,1.4k
1880,Saudi Aramco,4.4,(594),"Work Life Balance, Company Culture, Salary",--,1.5k
1881,Efs Facilities Services,3.8,(594),"Promotions, Salary",7,1.4k
1882,Country Delight,3.9,(593),"Salary, Work Life Balance",10,2.5k
1883,Coal India,3.9,(593),"Job Security, Salary, Work Life Balance",--,1.9k
1884,Pamac Finserve,3.1,(593),"Promotions, Salary, Work Life Balance",--,1.7k
1885,Maharashtra State Electricity Distribution Company,4.3,(592),"Company Culture, Skill Development, Work Life Balance",--,1.2k
1886,Congruex Asia Pacific,3.7,(594),"Company Culture, Work Life Balance",5,2.1k
1887,PayU Payments,3.3,(592),"Promotions, Work Satisfaction, Job Security",124,4.4k
1888,PTC,4.2,(592),"Work Life Balance, Company Culture, Job Security",170,4k
1889,Magma General Insurance Limited,3.7,(592),"Promotions, Work Satisfaction",26,2.4k
1890,Gandhi Automations,3.9,(591),"Salary, Job Security, Promotions",3,1.3k
1891,Jindal Poly Films,3.6,(591),"Promotions, Company Culture, Job Security",--,2.4k
1892,Crystal Crop Protection,3.9,(591),Work Life Balance,3,1.9k
1893,Jubilant Generics,3.9,(591),"Work Life Balance, Salary",--,2.3k
1894,PureSoftware,2.9,(591),"Job Security, Promotions, Skill Development",29,3.7k
1895,Empower,4.0,(591),"Job Security, Company Culture, Work Life Balance",9,4.4k
1896,SAEL Industries Limited,4.0,(590),"Work Life Balance, Salary",38,2.1k
1897,Alcon,3.8,(590),"Salary, Work Life Balance",38,3k
1898,Kellogg,4.2,(590),"Work Life Balance, Company Culture, Job Security",5,2.3k
1899,Capital Numbers Infotech,4.1,(590),"Work Life Balance, Work Satisfaction, Company Culture",11,1.2k
1900,McCain Foods,4.1,(590),"Salary, Work Life Balance, Job Security",5,1.7k
1901,AVTEC,3.5,(589),"Promotions, Job Security, Salary",16,2.1k
1902,Prochant,3.8,(591),Promotions,25,2.5k
1903,Damco Solutions,3.4,(590),"Promotions, Skill Development, Work Satisfaction",84,2.3k
1904,Paytm Payments Services,3.2,(591),"Job Security, Company Culture, Work Satisfaction",2,1.4k
1905,Axiscades,3.1,(587),"Promotions, Salary, Company Culture",17,3.8k
1906,Army Public School,4.0,(588),"Skill Development, Salary, Work Life Balance",--,1.2k
1907,Equifax,4.0,(588),"Work Life Balance, Skill Development, Company Culture",9,2.7k
1908,Vishwa Samudra Engineering,3.5,(586),"Job Security, Promotions, Company Culture",1,1.7k
1909,Quest Retail Private Limited,3.9,(586),"Work Life Balance, Job Security, Skill Development",2,936
1910,Voyants Solutions,3.6,(586),"Promotions, Job Security, Company Culture",170,1.7k
1911,Sandoz,4.0,(586),"Salary, Company Culture, Work Life Balance",--,2.6k
1912,Hilton,4.2,(586),"Company Culture, Work Life Balance, Job Security",173,1.5k
1913,MR.DIY,3.4,(586),"Company Culture, Work Life Balance, Work Satisfaction",5,1.6k
1914,BEML,3.6,(585),Job Security,--,1.7k
1915,Prestige Group,4.3,(585),"Work Life Balance, Job Security, Company Culture",20,2.6k
1916,Paramount Health Services Tpa,3.9,(585),Work Life Balance,22,2.3k
1917,Titan Engineering & Automation,3.8,(586),"Job Security, Skill Development",29,3.5k
1918,Maxop Engineering Co.,4.1,(585),"Salary, Work Life Balance, Work Satisfaction",10,2.4k
1919,smartData Enterprises,3.9,(585),Skill Development,32,1.6k
1920,J K Fenner,3.8,(584),Promotions,11,2k
1921,Matrimonialsindia,4.9,(585),"Company Culture, Work Life Balance, Work Satisfaction",--,117
1922,Wood Group,3.7,(584),"Salary, Work Life Balance",75,2.9k
1923,UTL Solar,3.6,(583),"Promotions, Company Culture, Job Security",29,1.8k
1924,Unified Mentor,4.1,(583),"Work Life Balance, Skill Development, Company Culture",4,420
1925,Genesys International Corporation,3.1,(582),"Promotions, Salary, Work Life Balance",1,2.3k
1926,Toyota Industries Engine India,4.3,(581),"Company Culture, Work Life Balance, Job Security",--,1.6k
1927,Baker Hughes,4.1,(581),"Work Life Balance, Company Culture, Salary",109,4.1k
1928,BUSINESSNEXT,3.4,(582),"Promotions, Work Satisfaction, Skill Development",7,4k
1929,Icl Fincorp,4.7,(582),"Company Culture, Work Life Balance, Work Satisfaction",21,654
1930,Dishman Carbogen Amcis,3.6,(581),Work Life Balance,35,2.1k
1931,Applied Materials,3.7,(580),Promotions,23,5k
1932,GAMMON INDIA,3.8,(580),"Skill Development, Work Satisfaction, Job Security",--,1.1k
1933,Andritz Hydro Location India,3.9,(580),Job Security,4,2.9k
1934,AVIOM,4.0,(579),"Salary, Work Life Balance, Work Satisfaction",1,1.2k
1935,Lear Corporation,4.0,(579),"Work Life Balance, Company Culture, Job Security",6,3k
1936,Hitachi Cash Management Services,3.2,(579),"Promotions, Work Satisfaction, Company Culture",6,1.3k
1937,Transport Corporation Of India,3.8,(578),Job Security,--,1.9k
1938,NAV Backoffice,3.8,(579),"Salary, Company Culture, Promotions",2,2.5k
1939,Paras Dairy,3.4,(578),"Job Security, Promotions, Company Culture",5,1.7k
1940,Paras Dairy,3.4,(578),"Job Security, Promotions, Company Culture",5,1.7k
1941,TSYS|Total System Services,4.1,(578),"Work Life Balance, Company Culture, Salary",18,4.3k
1942,Datamatics Business Solutions,3.3,(579),"Promotions, Salary, Work Satisfaction",5,2.6k
1943,Marelli,3.5,(577),"Promotions, Company Culture, Work Satisfaction",8,2.8k
1944,Western Refrigeration,3.8,(577),"Job Security, Salary",41,2.3k
1945,Vindhya e-Info Media,3.9,(579),"Company Culture, Work Life Balance, Job Security",2,1.2k
1946,Bajaj Consumer Care,3.8,(576),"Company Culture, Work Life Balance, Salary",8,1.4k
1947,AM Infoweb,3.9,(578),"Skill Development, Salary",16,1.5k
1948,HBL Power Systems,4.0,(576),Work Life Balance,13,2.2k
1949,WayCool Foods and Products,3.4,(575),"Promotions, Job Security, Work Satisfaction",--,2.8k
1950,DB Schenker,4.3,(575),"Work Life Balance, Company Culture, Work Satisfaction",--,2.3k
1951,Amway India Enterprises,4.1,(575),"Work Life Balance, Company Culture, Salary",16,2.1k
1952,Infotact Solutions,4.4,(575),"Skill Development, Company Culture, Work Life Balance",--,56
1953,Larsen & Toubro Group,4.0,(574),"Job Security, Skill Development, Company Culture",--,1k
1954,FiveS Digital,3.3,(575),"Salary, Promotions, Job Security",7,1.6k
1955,Levi Strauss & Co.,4.2,(574),"Company Culture, Work Life Balance, Work Satisfaction",21,2.1k
1956,Navin Fluorine International,3.8,(573),"Job Security, Salary",5,2.7k
1957,Kirloskar Pneumatic,4.0,(572),"Job Security, Company Culture, Work Life Balance",1,2.7k
1958,AVEVA,4.0,(572),"Work Life Balance, Company Culture",64,1.9k
1959,"DATAMARK, Inc.",3.5,(572),"Promotions, Salary, Skill Development",52,1.7k
1960,WPP Media,3.6,(572),Job Security,4,4.2k
1961,SoftAge Information Technology,3.6,(572),"Promotions, Job Security",6,965
1962,LendingKart,3.6,(572),"Promotions, Job Security, Skill Development",92,2.6k
1963,Solara Active Pharma Sciences,3.7,(572),"Promotions, Company Culture, Salary",2,2.8k
1964,Harman Finochem,3.6,(572),"Company Culture, Promotions, Skill Development",27,3k
1965,Innovaccer,2.7,(571),"Job Security, Promotions, Work Satisfaction",17,3.7k
1966,MITS Global Consulting,4.5,(570),"Company Culture, Work Life Balance, Salary",--,935
1967,Renault,3.9,(568),"Work Life Balance, Company Culture, Job Security",--,1.9k
1968,Haldiram Snacks,3.8,(568),"Promotions, Company Culture",10,1.9k
1969,Hitachi Systems,4.0,(569),"Job Security, Work Life Balance, Company Culture",7,3.1k
1970,Micromax Informatics,3.9,(567),Work Life Balance,--,1.3k
1971,My Home Constructions,4.3,(566),"Job Security, Work Life Balance, Company Culture",7,2.2k
1972,Amara Raja Infra,4.0,(566),"Job Security, Salary, Company Culture",--,1.6k
1973,Carlsberg,3.9,(567),"Salary, Job Security",17,1.9k
1974,Virtual Employee,3.2,(566),"Promotions, Job Security, Skill Development",--,3.2k
1975,GSPANN Technologies,4.0,(565),"Company Culture, Work Life Balance, Job Security",68,3.7k
1976,Allianz Partners,3.7,(565),"Work Life Balance, Job Security",--,2.7k
1977,The Times of India,3.6,(566),"Promotions, Salary, Work Satisfaction",1,2.9k
1978,Craftsman Automation,3.7,(565),Salary,--,2.4k
1979,L & W Constructions,4.0,(566),"Salary, Work Satisfaction, Job Security",2,1.8k
1980,Macawber Beekay,4.2,(567),"Job Security, Salary, Company Culture",21,1.7k
1981,United Spirits,4.0,(564),"Skill Development, Salary, Company Culture",6,1.5k
1982,Kellogg Brown and Root,4.1,(564),"Company Culture, Work Life Balance, Work Satisfaction",82,2.4k
1983,Toothsi,2.7,(564),"Job Security, Promotions, Company Culture",--,2.2k
1984,Vimta Labs,3.4,(563),"Promotions, Salary, Company Culture",6,2.2k
1985,Sulzer,3.9,(563),Salary,4,2.8k
